title,description,pubDate,guid/_isPermaLink,guid/__text,link,creator,enclosure/_url,enclosure/_length,enclosure/_type,point
Judge finds SWMBIA in contempt over impact fee settlement money,"A judge has found the Southwest Montana Building Industry Association in contempt of court over its handling of money left over from a 2005 settlement with the city of Bozeman over the city’s impact fee program, concluding the industry group…","Wed, 28 Jun 2017 05:00:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/773ae378-46eb-54f3-9aa9-41eafb55264d,https://www.bozemandailychronicle.com/news/city/judge-finds-swmbia-in-contempt-over-impact-fee-settlement-money/article_773ae378-46eb-54f3-9aa9-41eafb55264d.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/8/b8/8b89e954-9d83-58aa-b1e8-5f3d95b13298/5952e1daeb015.image.jpg?resize=300%2C200,357410,image/jpeg,
Bozeman passes $106 million annual city budget,"Bozeman commissioners voted Monday to approve a $106 million annual budget for the city, increasing property assessments for road maintenance and construction.","Mon, 26 Jun 2017 21:00:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/01ca75d6-0900-532f-af4b-c69e44dd01fe,https://www.bozemandailychronicle.com/news/city/bozeman-passes-million-annual-city-budget/article_01ca75d6-0900-532f-af4b-c69e44dd01fe.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/e/e2/ee2362a5-ed72-525c-908f-78367a10a813/591652d7ed611.image.jpg?resize=300%2C212,542360,image/jpeg,
Bozeman commission plans to ban new full-time vacation rentals in all residential zones,"City commissioners forged ahead Thursday evening with an effort to regulate Airbnb-style short-term rentals in Bozeman, endorsing language that would forbid new vacation rentals in homes in residential zones where owners don’t live at least half-time.","Fri, 23 Jun 2017 00:00:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/4bd31f05-a767-53e7-91fe-d554ae2d4946,https://www.bozemandailychronicle.com/news/city/bozeman-commission-plans-to-ban-new-full-time-vacation-rentals/article_4bd31f05-a767-53e7-91fe-d554ae2d4946.html,By Eric Dietrich Chronicle Staff Writer,,,,
Meandered again: Bozeman opens up Bogert Park creek restoration,"For decades the stretch of Bozeman Creek passing through Bogert Park south of downtown Bozeman has been hemmed in, rushing through a narrow channel as it flows north toward the East Gallatin River.","Thu, 22 Jun 2017 17:30:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/f26d9762-8acd-592f-9452-89a0c991630c,https://www.bozemandailychronicle.com/news/city/meandered-again-bozeman-opens-up-bogert-park-creek-restoration/article_f26d9762-8acd-592f-9452-89a0c991630c.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/4/63/463b88d8-0029-577b-be9f-8f98e8ab486e/594c52d645e46.image.jpg?resize=300%2C197,382321,image/jpeg,
Condo development north of downtown Bozeman draws neighborhood concerns,It’s no Black-Olive — in terms of either scale or neighbor outcry — but a five-plex condo development proposed for a North Grand Avenue home lot is drawing some concerns from neighbors.,"Thu, 22 Jun 2017 05:00:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/18fb47fa-d69e-5a47-a5e6-a6611c2ca954,https://www.bozemandailychronicle.com/news/city/condo-development-north-of-downtown-bozeman-draws-neighborhood-concerns/article_18fb47fa-d69e-5a47-a5e6-a6611c2ca954.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/a/1d/a1d6ef43-a56e-5644-b772-7ff8e57ef5b4/594af9ca51259.image.png?resize=300%2C171,1310982,image/png,
Bozeman commissioners talking vacation rentals Thursday,"Bozeman commissioners will continue a discussion about potential rules for Airbnb-style short-term rentals in a special meeting Thursday evening, potentially voting on banning the operations in some neighborhoods.","Wed, 21 Jun 2017 17:00:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/78dec83a-3526-5893-9110-88a5b3e9aa7b,https://www.bozemandailychronicle.com/news/city/bozeman-commissioners-talking-vacation-rentals-thursday/article_78dec83a-3526-5893-9110-88a5b3e9aa7b.html,By Eric Dietrich Chronicle Staff Writer,,,,
"Seven file for Bozeman commission, LaMeres to challenge Mehl for mayoral seat","Until a quarter to five Monday, it looked like Commissioner Chris Mehl might just end up running unopposed in his bid to win election as Bozeman’s mayor this fall.","Mon, 19 Jun 2017 22:30:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/c50da20e-5386-5748-af39-bbed364d1809,https://www.bozemandailychronicle.com/news/city/seven-file-for-bozeman-commission-lameres-to-challenge-mehl-for/article_c50da20e-5386-5748-af39-bbed364d1809.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/e/e2/ee2362a5-ed72-525c-908f-78367a10a813/591652d7ed611.image.jpg?resize=300%2C212,542360,image/jpeg,
Split Bozeman commission agrees to hear Black-Olive again,"On a narrow 3-2 vote Monday, Bozeman commissioners decided to again take up developer Andy Holloran’s contentious Black-Olive proposal, meaning a revised version of the proposal will face the body in a public hearing later this summer.","Mon, 19 Jun 2017 21:15:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/69ef5df2-d360-5107-9709-0e5fca7e9d02,https://www.bozemandailychronicle.com/news/city/split-bozeman-commission-agrees-to-hear-black-olive-again/article_69ef5df2-d360-5107-9709-0e5fca7e9d02.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/8/12/812db747-4dda-52d9-93c0-ad4ac70e2535/592f4f8a843ca.image.jpg?resize=300%2C185,557514,image/jpeg,
Mayor says commission won’t pursue moratorium of tall buildings in downtown Bozeman,Bozeman Mayor Carson Taylor said this week that he doesn’t intend to act on a request by neighborhood preservation activists that the city place a moratorium on major downtown developments.,"Sun, 18 Jun 2017 05:00:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/7e97907b-c544-543d-9dc0-36c1ca45d479,https://www.bozemandailychronicle.com/news/city/mayor-says-commission-won-t-pursue-moratorium-of-tall-buildings/article_7e97907b-c544-543d-9dc0-36c1ca45d479.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/9/b6/9b68ebd5-f551-51e8-af41-4600864e1b67/594473c0066ba.image.jpg?resize=300%2C200,294556,image/jpeg,
WaterWorks art project looks to get folks thinking about hydrology,"Standing on a downtown sidewalk in front of the Nova Cafe on Saturday morning, a small group of people hunched over a smartphone, watching Bozeman Creek flow beneath their feet.","Sat, 17 Jun 2017 16:00:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/d0017ff4-32f6-5aa0-bcdb-ddd5e1818f3e,https://www.bozemandailychronicle.com/news/waterworks-art-project-looks-to-get-folks-thinking-about-hydrology/article_d0017ff4-32f6-5aa0-bcdb-ddd5e1818f3e.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/4/67/467be916-e7a5-54ff-8117-b7c7b0db3429/5945a6fe2b5ea.image.jpg?resize=300%2C211,337599,image/jpeg,
